Id;EntityCreatedAt;EntityModifiedAt;MRID;DocStatusValue;AttributeInstanceComponent;LongNames;DisplayNames;LastRequestDateAndOrTime;DeactivateRequestDateAndOrTime;MarketParticipantStreetAddressCountry;MarketParticipantACERCode;MarketParticipantVATcode;Description;EICParentMarketDocumentMRID;ELCResponsibleMarketParticipantMRID;IsDeleted;AllocatedEICID
50031;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;21ZPHLCST------D;A05;International;Subterminal Bacton Tullow;PHLCST;2006-06-13 00:00:00.0000000;NULL;NULL;;NULL;Connection Point;NULL;NULL;0;3
50032;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;21ZSAGCST------2;A05;International;Subterminal St Fergus Mobil;SAGCST;2006-06-13 00:00:00.0000000;NULL;NULL;;NULL;Connection Point;NULL;NULL;0;3
50033;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;21ZSEACST------K;A05;International;Subterminal Bacton SEAL;SEACST;2006-06-13 00:00:00.0000000;NULL;NULL;;NULL;Connection Point;NULL;NULL;0;3
50034;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;21ZSHAMST------W;A05;International;Subterminal Bacton Parenco;SHAMST;2006-06-13 00:00:00.0000000;NULL;NULL;;NULL;Connection Point;NULL;NULL;0;3
50035;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;21ZSOLCST------1;A05;International;Subterminal Easington BP;SOLCST;2006-06-13 00:00:00.0000000;NULL;NULL;;NULL;Connection Point;NULL;NULL;0;3
50036;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;21ZSPOTST------8;A05;International;Subterminal Bacton Shell;SPOTST;2006-06-13 00:00:00.0000000;NULL;NULL;;NULL;Connection Point;NULL;NULL;0;3
50037;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;21ZTAMCST------Y;A05;International;Subterminal Teesside Amoco;TAMCST;2006-06-13 00:00:00.0000000;NULL;NULL;;NULL;Connection Point;NULL;NULL;0;3
50038;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;21ZTOMCST------E;A05;International;Subterminal St Fergus TOM;TOMCST;2006-06-13 00:00:00.0000000;NULL;NULL;;NULL;Connection Point;NULL;NULL;0;3
50039;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22T20180928----Z;A05;International;00 REDISPATCH;BE00_REDISPATCH;2019-02-05 00:00:00.0000000;NULL;NULL;;NULL;BE00_REDISPATCH;NULL;10X1001A1001A094;0;3
50040;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22T2018100501--6;A05;International;150.24 MOL-MASSEBRACHT;BE24_MOL_MASSE;2019-02-05 00:00:00.0000000;NULL;NULL;;NULL;NULL;NULL;10X1001A1001A094;0;3
50041;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22T2018100502--2;A05;International;150.25 NIEUWPOORT-RUIEN;BE25_NIEUW_RUIEN;2019-02-05 00:00:00.0000000;NULL;NULL;;NULL;NULL;NULL;10X1001A1001A094;0;3
50042;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22T2018100503--Z;A05;International;150.361 KOKSIJDE-SLYKE;BE361_KOKSI_SLYK;2019-02-05 00:00:00.0000000;NULL;NULL;;NULL;NULL;NULL;10X1001A1001A094;0;3
50043;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22T2018100504--V;A05;International;150.144 BLATOR-ZEEBRUGGE;BE144_BLTOR_ZEEB;2019-02-05 00:00:00.0000000;NULL;NULL;;NULL;NULL;NULL;10X1001A1001A094;0;3
50044;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22T2018100505--R;A05;International;150.26 NIEUWPOORT-RUIEN;BE26_NIEUW_RUIEN;2019-02-05 00:00:00.0000000;NULL;NULL;;NULL;NULL;NULL;10X1001A1001A094;0;3
50045;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22T2018100506--N;A05;International;150.387 BLATOR-BRUGGE;BE387_BLTOR_BRUG;2019-02-05 00:00:00.0000000;NULL;NULL;;NULL;NULL;NULL;10X1001A1001A094;0;3
50046;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22T2018100507--J;A05;International;150.10 RODENHUIZEN-HEIMOLEN;BE10_RODEN_HEIMO;2019-02-05 00:00:00.0000000;NULL;NULL;;NULL;NULL;NULL;10X1001A1001A094;0;3
50047;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22T2018100509--B;A05;International;150.9 MERCATOR-RODENHUIZEN;BE9_MERCA_RODEN;2019-02-05 00:00:00.0000000;NULL;NULL;;NULL;NULL;NULL;10X1001A1001A094;0;3
50048;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22T-BE-IN-LI028O;A05;International;150.534 JUPILLE-ROMSE;BE534_JUPIL_ROMS;2019-02-05 00:00:00.0000000;NULL;BE;;NULL;NULL;NULL;10X1001A1001A094;0;3
50049;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22T-BE-IN-LI029M;A05;International;150.523 LEVAL-SERAING;BE523_LEVAL_SERA;2019-02-05 00:00:00.0000000;NULL;BE;;NULL;NULL;NULL;10X1001A1001A094;0;3
50050;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22T-BE-IN-LI0300;A05;International;150.522 LEVAL-RIMIERE;BE522_LEVAL_RIMI;2019-02-05 00:00:00.0000000;NULL;BE;;NULL;NULL;NULL;10X1001A1001A094;0;3
50051;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22W20181005PU--J;A05;International;Vilvoorde GT;BE_PU_VILVORDEPU;2018-10-05 00:00:00.0000000;NULL;BE;;NULL;NULL;NULL;11XELECTRABEL--Z;0;3
50052;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22W201902131---T;A05;International;Norther Offshore WP PU;BE_PU_NORTHER;2019-02-13 00:00:00.0000000;NULL;BE;;NULL;Norther Offshore WP Electrabel code creation for transparency reasons;NULL;11XELECTRABEL--Z;0;3
50053;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22W201902132---O;A05;International;Norther Offshore WP GU;BE_GU_NORTHER;2019-02-13 00:00:00.0000000;NULL;BE;;NULL;EIC code for ARP Electrabel on Offshore WP Norther for transparency reasons as requested;NULL;11XELECTRABEL--Z;0;3
50054;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22WAMERCO000008L;A05;International;Amercoeur 1 R GT;BE_GU_AMERC1GT;2017-02-16 00:00:00.0000000;NULL;BE;;NULL;NULL;NULL;11XELECTRABEL--Z;0;3
